Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_f
Land Rover Discovery,diesel,SUV,four wheel drive,2222.602613,2.9235399999999996,0.52,0.35,2.6,793.0
Land Rover Range Rover,diesel,SUV,four wheel drive,2240.7463078,2.921,0.52,0.35,2.6,800.0
Land Rover Range Rover Sport,diesel,SUV,four wheel drive,2164.99638201,2.9235399999999996,0.52,0.35,2.6,800.0
Chevrolet Equinox,diesel,SUV,all wheel drive,1655.6121505,2.7254199999999997,0.52,0.35,2.6,550.0
GMC Terrain,diesel,SUV,all wheel drive,1730.4548915500002,2.7254199999999997,0.52,0.35,2.6,550.0
Jaguar F-PACE,diesel,SUV,all wheel drive,1769.0102430000002,2.87274,0.52,0.35,2.6,561.0
Jaguar XE,diesel,Sedan,all wheel drive,1607.98495165,2.83464,0.55,0.27,2.2,522.0
Jaguar XF,diesel,Sedan,rear wheel drive,1657.88011235,2.9591,0.55,0.27,2.2,613.0
Land Rover Range Rover Velar,diesel,SUV,all wheel drive,1977.20914083,2.87274,0.52,0.35,2.6,561.0
Mazda CX-5,diesel,SUV,all wheel drive,1787.1539378,2.69748,0.52,0.35,2.6,539.0
BMW 3 Series,diesel,Sedan,rear wheel drive,1592.1092187000002,2.80924,0.55,0.27,2.2,529.0
BMW 5 Series,diesel,Sedan,all wheel drive,1909.17028533,2.9743399999999998,0.55,0.27,2.2,613.0
BMW X5,diesel,SUV,all wheel drive,2211.2628037500003,2.9337,0.52,0.35,2.6,790.0
BMW X3,diesel,SUV,all wheel drive,1918.6957251000001,2.80924,0.52,0.35,2.6,624.0
Audi A3,diesel,Sedan,front wheel drive,1470.09287117,2.63652,0.55,0.27,2.2,465.0
Audi A6,diesel,Sedan,all wheel drive,1940.01456649,2.91338,0.55,0.27,2.2,677.0
Audi A7,diesel,Sedan,all wheel drive,1945.0040825600001,2.91338,0.55,0.27,2.2,698.0
Audi A8,diesel,Sedan,all wheel drive,2070.19557668,3.12166,0.55,0.27,2.2,839.0
Audi Q5,diesel,SUV,all wheel drive,2029.82585575,2.8066999999999998,0.52,0.35,2.6,698.0
Mercedes-Benz E-Class,diesel,Sedan,rear wheel drive,1890.1194057900002,2.87528,0.55,0.27,2.2,744.0
Mercedes-Benz GL-Class,diesel,SUV,all wheel drive,2479.78948679,3.0759399999999997,0.52,0.35,2.6,931.0
Porsche Cayenne,diesel,SUV,all wheel drive,2184.9544462900003,2.8956,0.52,0.35,2.6,931.0
Ram 1500,diesel,Truck (Quad Cab),rear wheel drive,2465.27453095,3.5686999999999998,0.7,0.42,2.8,917.0
Volkswagen Touareg,diesel,SUV,all wheel drive,2231.22086803,2.89306,0.52,0.35,2.6,931.0
Audi Q7,diesel,SUV,all wheel drive,2454.84190644,3.00228,0.52,0.35,2.6,931.0
BMW 7 Series,diesel,Sedan,all wheel drive,2125.0802534500003,3.21056,0.55,0.27,2.2,744.0
Chevrolet Cruze,diesel,Sedan,front wheel drive,1574.4191162700001,2.68478,0.55,0.27,2.2,550.0
Mercedes-Benz GLK-Class,diesel,SUV,all wheel drive,1925.95320302,2.7559,0.52,0.35,2.6,550.0
Volkswagen Beetle,diesel,Hatchback,front wheel drive,1446.9596603,2.54,0.54,0.3,2.1,511.0
Volkswagen Beetle Convertible,diesel,Convertible,front wheel drive,1558.0897909500002,2.54,0.53,0.31,2.1,511.0
Volkswagen Golf,diesel,Hatchback,front wheel drive,1417.92974862,2.63652,0.54,0.3,2.1,465.0
Volkswagen Golf SportWagen,diesel,Wagon,front wheel drive,1472.36083302,2.6289,0.56,0.29,2.2,465.0
Volkswagen Jetta,diesel,Sedan,front wheel drive,1495.04045152,2.65176,0.55,0.27,2.2,511.0
Volkswagen Passat,diesel,Sedan,front wheel drive,1586.21251789,2.80416,0.55,0.27,2.2,652.0
