Time,Velocity,Acceleration,Distance
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0
5.0,0.09,0.09,0.04
6.0,0.31,0.22,0.25
7.0,0.49,0.18,0.65
8.0,0.76,0.27,1.27
9.0,2.68,1.92,3.0
10.0,6.21,3.53,7.44
11.0,9.16,2.95,15.13
12.0,11.49,2.32,25.46
13.0,11.18,-0.31,36.79
14.0,12.7,1.52,48.73
15.0,14.44,1.74,62.3
16.0,15.47,1.03,77.25
17.0,16.32,0.85,93.14
18.0,17.17,0.85,109.88
19.0,17.84,0.67,127.38
20.0,18.87,1.03,145.74
21.0,19.58,0.72,164.96
22.0,19.76,0.18,184.63
23.0,19.4,-0.36,204.21
24.0,19.04,-0.36,223.43
25.0,18.02,-1.03,241.96
26.0,17.52,-0.49,259.73
27.0,17.17,-0.36,277.08
28.0,17.17,0.0,294.24
29.0,17.52,0.36,311.59
30.0,17.35,-0.18,329.02
31.0,17.35,0.0,346.37
32.0,16.32,-1.03,363.2
33.0,14.44,-1.88,378.58
34.0,12.34,-2.1,391.96
35.0,9.97,-2.37,403.12
36.0,7.73,-2.24,411.97
37.0,5.14,-2.59,418.41
38.0,2.59,-2.55,422.27
39.0,0.54,-2.06,423.84
40.0,0.0,-0.54,424.11
41.0,0.0,0.0,424.11
42.0,0.0,0.0,424.11
43.0,0.0,0.0,424.11
44.0,0.0,0.0,424.11
45.0,0.0,0.0,424.11
46.0,0.0,0.0,424.11
47.0,0.0,0.0,424.11
48.0,0.36,0.36,424.29
49.0,4.11,3.76,426.52
50.0,6.66,2.55,431.91
51.0,8.14,1.48,439.31
52.0,9.92,1.79,448.34
53.0,12.16,2.24,459.38
54.0,14.04,1.88,472.48
55.0,15.11,1.07,487.05
56.0,16.63,1.52,502.92
57.0,18.24,1.61,520.35
58.0,19.67,1.43,539.31
59.0,20.7,1.03,559.49
60.0,21.28,0.58,580.48
61.0,22.13,0.85,602.19
62.0,22.89,0.76,624.69
63.0,23.69,0.8,647.98
64.0,24.32,0.63,671.99
65.0,24.86,0.54,696.58
66.0,25.21,0.36,721.61
67.0,25.08,-0.13,746.76
68.0,25.12,0.04,771.86
69.0,24.94,-0.18,796.89
70.0,24.63,-0.31,821.68
71.0,24.32,-0.31,846.16
72.0,24.23,-0.09,870.43
73.0,24.32,0.09,894.71
74.0,24.23,-0.09,918.98
75.0,23.92,-0.31,943.05
76.0,23.38,-0.54,966.7
77.0,23.25,-0.13,990.01
78.0,23.2,-0.04,1013.24
79.0,23.16,-0.04,1036.42
80.0,23.2,0.04,1059.6
81.0,23.25,0.04,1082.82
82.0,23.47,0.22,1106.18
83.0,23.87,0.4,1129.85
84.0,24.54,0.67,1154.06
85.0,25.39,0.85,1179.02
86.0,26.29,0.89,1204.86
87.0,27.09,0.8,1231.55
88.0,27.85,0.76,1259.02
89.0,28.7,0.85,1287.3
90.0,29.59,0.89,1316.44
