Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_b,h,A,C,D,FC US06,FC WLTC,E_f
Audi e-tron Sportback,electric,SUV,all wheel drive,2609.97049698,2.921,0.52,0.35,2.6,95.0,0.19,3840.57158630607,0.4180312500000001,1957.477872735,0.9332559844394716,0.6236225024550227,0.0
BMW i3,electric,Hatchback,rear wheel drive,1348.07652364,2.57048,0.54,0.3,2.1,42.0,0.21000000000000002,1892.264501561731,0.5787699971022525,1947.4033674955144,0.6189067938287612,0.3791329271134316,0.0
Chevrolet Bolt EV,electric,Hatchback,front wheel drive,1616.14961431,2.60096,0.54,0.3,2.1,66.0,0.21000000000000002,2488.377738389784,0.5788447351581989,2512.4526486196132,0.7790028194314252,0.4792325913948526,0.0
Hyundai Ioniq Electric,electric,Hatchback,front wheel drive,1582.13018656,2.70002,0.54,0.3,2.1,38.0,0.21000000000000002,2431.86330181738,0.5788454283385067,2456.2655033703036,0.7635600969323284,0.46963653563370317,0.0
Hyundai Kona Electric,electric,SUV,front wheel drive,1710.0432349,2.60096,0.52,0.35,2.6,64.0,0.19,2630.40563624496,0.8361065050796597,2658.258954301442,0.8539506054234998,0.5162300970045703,0.0
Jaguar I-PACE,electric,Hatchback,all wheel drive,2169.98589808,2.98958,0.54,0.3,2.1,90.0,0.21000000000000002,3193.13424902472,0.28940625000000003,1627.48942356,0.7703731797657618,0.5201046823198506,0.0
Kia Niro EV,electric,SUV,front wheel drive,1748.14499398,2.70002,0.52,0.35,2.6,64.0,0.19,2684.5490202763626,0.8361055459034218,2713.831491397988,0.8689224220887862,0.5254944411676931,0.0
MINI Hardtop 2 Door,electric,Hatchback,front wheel drive,1430.17674261,2.49428,0.54,0.3,2.1,32.0,0.21000000000000002,2206.4095880918358,0.578848927191032,2226.896610229689,0.7014240081685652,0.43114249816122024,0.0
Nissan LEAF,electric,Hatchback,front wheel drive,1604.80980506,2.70002,0.54,0.3,2.1,40.0,0.21000000000000002,2466.723727588844,0.5788449629526614,2491.4694424199297,0.7731412010930527,0.47557796515042794,0.0
Porsche Taycan,electric,Sedan,all wheel drive,2246.64300861,2.90068,0.55,0.27,2.2,79.0,0.22000000000000003,3305.935187169615,0.27286875000000005,1684.9822564575,0.7933514714114825,0.5362184691307575,0.0
Tesla Model S,electric,Sedan,all wheel drive,2241.19990017,2.9591,0.55,0.27,2.2,75.0,0.22000000000000003,3297.925653100155,0.27286875000000005,1680.8999251275,0.7915570595492671,0.5350163531047002,0.0
Tesla Model X,electric,SUV,all wheel drive,2508.81939847,2.96418,0.52,0.35,2.6,75.0,0.19,3691.727744848605,0.4180312500000001,1881.6145488525,0.89990983066662,0.6012831796374376,0.0
FIAT 500e,electric,Hatchback,front wheel drive,1351.7052626,2.30124,0.54,0.3,2.1,24.0,0.21000000000000002,2093.852481441797,0.578851042104179,2111.551878662859,0.6703181810990306,0.4118905902098713,0.0
Honda Clarity,electric,Sedan,front wheel drive,1825.25569688,2.7508199999999996,0.55,0.27,2.2,25.0,0.22000000000000003,2804.5367643232885,0.5457644110281523,2831.869135726541,0.8613248120179039,0.5314907870235966,0.0
