Time,Velocity,Acceleration,Distance
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0
11.0,0.0,0.03,0.0
12.0,0.09,0.43,0.04
13.0,1.39,0.76,0.78
14.0,2.55,0.68,2.75
15.0,3.58,0.61,5.81
16.0,4.52,0.56,9.86
17.0,5.36,0.51,14.8
18.0,6.17,0.47,20.56
19.0,6.88,0.4,27.09
20.0,7.47,0.32,34.27
21.0,7.91,0.22,41.95
22.0,8.18,0.15,50.0
23.0,8.4,0.08,58.29
24.0,8.45,-0.06,66.72
25.0,8.23,-0.28,75.06
26.0,7.55,-0.57,82.95
27.0,6.39,-0.85,89.92
28.0,4.83,-1.0,95.53
29.0,3.17,-0.94,99.53
30.0,1.79,-0.99,102.01
31.0,0.0,-0.56,102.91
32.0,0.0,0.0,102.91
33.0,0.0,0.0,102.91
34.0,0.0,0.21,102.91
35.0,0.67,0.56,103.24
36.0,1.79,0.6,104.47
37.0,2.59,0.49,106.66
38.0,3.35,0.47,109.64
39.0,4.11,0.47,113.37
40.0,4.87,0.44,117.86
41.0,5.54,0.42,123.07
42.0,6.21,0.42,128.95
43.0,6.88,0.38,135.5
44.0,7.42,0.29,142.65
45.0,7.82,0.24,150.27
46.0,8.18,0.19,158.27
47.0,8.45,0.17,166.59
48.0,8.72,0.17,175.17
49.0,8.99,0.18,184.02
50.0,9.3,0.21,193.17
51.0,9.66,0.24,202.64
52.0,10.06,0.22,212.5
53.0,10.37,0.19,222.72
54.0,10.68,0.18,233.24
55.0,10.95,0.17,244.06
56.0,11.22,0.13,255.15
57.0,11.35,0.01,266.44
58.0,11.27,-0.17,277.75
59.0,10.82,-0.4,288.79
60.0,9.97,-0.6,299.18
61.0,8.9,-0.69,308.61
62.0,7.73,-0.72,316.93
63.0,6.57,-0.72,324.08
64.0,5.41,-0.72,330.07
65.0,4.25,-0.76,334.9
66.0,2.95,-0.75,338.5
67.0,1.83,-0.92,340.89
68.0,0.0,-0.57,341.81
69.0,0.0,0.0,341.81
70.0,0.0,0.0,341.81
71.0,0.0,0.0,341.81
72.0,0.0,0.0,341.81
73.0,0.0,0.0,341.81
74.0,0.0,0.0,341.81
75.0,0.0,0.0,341.81
76.0,0.0,0.0,341.81
77.0,0.0,0.0,341.81
78.0,0.0,0.0,341.81
79.0,0.0,0.0,341.81
80.0,0.0,0.0,341.81
81.0,0.0,0.0,341.81
82.0,0.0,0.0,341.81
83.0,0.0,0.0,341.81
84.0,0.0,0.0,341.81
85.0,0.0,0.0,341.81
86.0,0.0,0.0,341.81
87.0,0.0,0.0,341.81
88.0,0.0,0.0,341.81
89.0,0.0,0.0,341.81
90.0,0.0,0.0,341.81
91.0,0.0,0.0,341.81
