Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_f
Acura ILX,gas,Sedan,front wheel drive,1403.86838515,2.6695399999999996,0.55,0.27,2.2,475.0
Acura MDX,gas,SUV,front wheel drive,1828.8844358400002,2.8194,0.52,0.35,2.6,701.0
Acura RDX,gas,SUV,front wheel drive,1733.17644577,2.7508199999999996,0.52,0.35,2.6,615.0
Acura RLX,gas,Sedan,front wheel drive,1803.9368554900002,2.8498799999999997,0.55,0.27,2.2,665.0
Acura TLX,gas,Sedan,front wheel drive,1609.3457287600002,2.77622,0.55,0.27,2.2,619.0
Alfa Romeo 4C,gas,Coupe,rear wheel drive,1128.08422419,2.3799799999999998,0.52,0.26,2.0,378.0
Alfa Romeo Giulia,gas,Sedan,all wheel drive,1642.91156414,2.8194,0.55,0.27,2.2,550.0
Alfa Romeo Stelvio,gas,SUV,rear wheel drive,1769.4638353700002,2.8194,0.52,0.35,2.6,608.0
Aston Martin DB11,gas,Coupe,rear wheel drive,1875.15085758,2.80416,0.52,0.26,2.0,737.0
Aston Martin Vantage,gas,Coupe,rear wheel drive,1498.66919048,2.7051,0.52,0.26,2.0,694.0
Audi A3,gas,Sedan,all wheel drive,1549.92512829,2.63652,0.55,0.27,2.2,521.0
Audi A4,gas,Sedan,front wheel drive,1549.92512829,2.8194,0.55,0.27,2.2,550.0
Audi A4 allroad,gas,Wagon,all wheel drive,1744.96984739,2.81686,0.56,0.29,2.2,550.0
Audi A5,gas,Convertible,all wheel drive,1804.84404023,2.76606,0.53,0.31,2.1,550.0
Audi Q3,gas,SUV,all wheel drive,1771.27820485,2.6797,0.52,0.35,2.6,572.0
Audi Q5,gas,SUV,all wheel drive,1834.78113665,2.8194,0.52,0.35,2.6,665.0
Audi Q7,gas,SUV,all wheel drive,2169.98589808,2.99466,0.52,0.35,2.6,809.0
Audi R8,gas,Coupe,all wheel drive,1655.15855813,2.6492199999999997,0.52,0.26,2.0,788.0
Audi RS 3,gas,Sedan,all wheel drive,1629.75738541,2.6314399999999996,0.55,0.27,2.2,521.0
Audi S3,gas,Sedan,all wheel drive,1569.8831925700001,2.6314399999999996,0.55,0.27,2.2,521.0
Audi S4,gas,Sedan,all wheel drive,1744.96984739,2.8194,0.55,0.27,2.2,550.0
Audi S5,gas,Coupe,all wheel drive,1749.95936346,2.7635199999999998,0.52,0.26,2.0,550.0
Audi TT,gas,Coupe,all wheel drive,1450.1348068900002,2.5044399999999998,0.52,0.26,2.0,521.0
Audi TT RS,gas,Coupe,all wheel drive,1495.04045152,2.5044399999999998,0.52,0.26,2.0,521.0
Audi TTS,gas,Coupe,all wheel drive,1480.0719033100002,2.5044399999999998,0.52,0.26,2.0,521.0
Bentley Bentayga,gas,SUV,all wheel drive,2482.96463338,2.99212,0.52,0.35,2.6,809.0
Bentley Continental,gas,Convertible,all wheel drive,2414.01859314,2.8498799999999997,0.53,0.31,2.1,856.0
Bentley Flying Spur,gas,Sedan,all wheel drive,2437.15180401,3.1953199999999997,0.55,0.27,2.2,856.0
Bentley Mulsanne,gas,Sedan,rear wheel drive,2711.1215954900003,3.26644,0.55,0.27,2.2,913.0
BMW 2 Series,gas,Convertible,rear wheel drive,1669.2199216000001,2.68986,0.53,0.31,2.1,493.0
BMW 2 Series Gran Coupe,gas,Sedan,all wheel drive,1602.99543558,2.6695399999999996,0.55,0.27,2.2,475.0
BMW 3 Series,gas,Sedan,rear wheel drive,1627.94301593,2.8498799999999997,0.55,0.27,2.2,561.0
BMW 4 Series,gas,Convertible,rear wheel drive,1831.15239769,2.80924,0.53,0.31,2.1,568.0
BMW 4 Series Gran Coupe,gas,Sedan,rear wheel drive,1669.2199216000001,2.80924,0.55,0.27,2.2,568.0
BMW 5 Series,gas,Sedan,rear wheel drive,1684.18846981,2.9743399999999998,0.55,0.27,2.2,647.0
BMW 7 Series,gas,Sedan,rear wheel drive,1925.04601828,3.21056,0.55,0.27,2.2,741.0
BMW 8 Series,gas,Coupe,rear wheel drive,1783.97879121,2.8219399999999997,0.52,0.26,2.0,647.0
BMW 8 Series Gran Coupe,gas,Sedan,rear wheel drive,1933.2106809400002,3.0225999999999997,0.55,0.27,2.2,647.0
BMW ALPINA B7,gas,Sedan,all wheel drive,2202.1909563500003,3.21056,0.55,0.27,2.2,741.0
BMW X1,gas,SUV,front wheel drive,1612.06728298,2.6695399999999996,0.52,0.35,2.6,579.0
BMW X2,gas,SUV,all wheel drive,1687.81720877,2.6695399999999996,0.52,0.35,2.6,579.0
